Species,Rank,Factor Score,Fraction Unfished,Target,MSST,PSA,Trend,Management Group
Arrowtooth flounder,59,1,0.87,0.25,0.125,1.21,0,species specific
Aurora rockfish,50,2,0.64,0.4,0.25,2.1,0,minor slope rockfish
Bank rockfish,2,6,NA,0.4,0.25,2.02,0,minor slope rockfish
Big skate,50,2,0.791966061,0.4,0.25,1.99,0,species specific
Black rockfish,14,4,0.423952437,0.4,0.25,1.94,0,species specific
Blackgill rockfish,14,4,0.39,0.4,0.25,2.08,0,minor slope rockfish
Blue/Deacon rockfish,14,4,0.424731869,0.4,0.25,2.01,0,minor nearshore rockfish
Bocaccio,31,3,0.49,0.4,0.25,1.93,0,species specific
Brown rockfish,14,4,0.43,0.4,0.25,1.99,0,minor nearshore rockfish
Cabezon,31,3,0.528438127,0.4,0.25,1.48,0,other groundfish
California scorpionfish,31,3,0.543241014,0.4,0.25,1.41,0,species specific
Canary rockfish,11,5,0.3507304,0.4,0.25,2.01,1,species specific
Chilipepper,50,2,0.69,0.4,0.25,1.35,0,species specific
China rockfish,31,3,0.46,0.4,0.25,2.23,0,minor nearshore rockfish
Copper rockfish,14,4,0.387359353,0.4,0.25,2.27,1,minor nearshore rockfish
Cowcod,31,3,0.571400205,0.4,0.25,2.13,0,minor shelf rockfish
Curlfin sole,31,3,NA,0.25,0.125,1.23,0,other flatfish
Darkblotched rockfish,14,4,0.4,0.4,0.25,1.92,0,species specific
Dover sole,59,1,0.789148842,0.25,0.125,1.54,0,species specific
English sole,59,1,0.88,0.25,0.125,1.19,0,species specific
Flag rockfish,14,4,NA,0.4,0.25,1.97,0,minor shelf rockfish
Flathead sole,31,3,NA,0.25,0.125,1.03,0,other flatfish
Gopher/Black and Yellow rockfish,14,4,0.438168278,0.4,0.25,1.73,0,minor nearshore rockfish
Grass rockfish,14,4,NA,0.4,0.25,1.89,0,minor nearshore rockfish
Greenspotted rockfish,11,5,0.35,0.4,0.25,1.98,0,minor shelf rockfish
Greenstriped rockfish,59,1,0.81,0.4,0.25,1.88,0,minor shelf rockfish
Honeycomb rockfish,14,4,NA,0.4,0.25,1.97,0,minor shelf rockfish
Kelp greenling,59,1,0.81,0.4,0.25,1.56,0,other groundfish
Kelp rockfish,31,3,NA,0.4,0.25,1.59,0,minor nearshore rockfish
Leopard shark,2,6,NA,0.4,0.25,2,0,other groundfish
Lingcod,31,3,0.491365352,0.4,0.25,1.55,0,species specific
Longnose skate,31,3,0.565009304,0.4,0.25,1.68,0,species specific
Longspine thornyhead,50,2,0.75,0.4,0.25,1.53,0,species specific
Olive rockfish,14,4,NA,0.4,0.25,1.87,0,minor nearshore rockfish
Pacific cod,31,3,NA,0.4,0.25,1.34,0,species specific
Pacific ocean perch,50,2,0.766475497,0.4,0.25,1.69,0,species specific
Pacific sanddab,31,3,NA,0.25,0.125,1.25,0,other flatfish
Pacific spiny dogfish,14,4,0.417965668,0.4,0.25,2.13,0,species specific
Petrale sole,31,3,0.33551743,0.25,0.125,1.94,0,species specific
Quillback rockfish,1,7,0.256519475,0.4,0.25,2.22,-1,minor nearshore rockfish
Redbanded rockfish,2,6,NA,0.4,0.25,2.02,0,minor slope rockfish
Redstripe rockfish,2,6,NA,0.4,0.25,2.16,0,minor shelf rockfish
Rex sole,59,1,0.761236541,0.25,0.125,1.28,0,other flatfish
Rock sole,31,3,NA,0.25,0.125,1.42,0,other flatfish
Rosethorn rockfish,2,6,NA,0.4,0.25,2.09,0,minor shelf rockfish
Rosy rockfish,14,4,NA,0.4,0.25,1.89,0,minor shelf rockfish
Rougheye/Blackspotted rockfish,31,3,0.47,0.4,0.25,2.27,0,minor slope rockfish
Sablefish,50,2,0.630013831,0.4,0.25,1.64,0,species specific
Sand sole,31,3,NA,0.25,0.125,1.23,0,other flatfish
Sharpchin rockfish,50,2,0.68,0.4,0.25,2.05,0,minor slope rockfish
Shortraker rockfish,2,6,NA,0.4,0.25,2.25,0,minor slope rockfish
Shortspine thornyhead,14,4,0.393620317,0.4,0.25,1.8,-1,species specific
Silvergray rockfish,2,6,NA,0.4,0.25,2.2,0,minor shelf rockfish
Speckled rockfish,2,6,NA,0.4,0.25,2.1,0,minor shelf rockfish
Splitnose rockfish,50,2,0.66,0.4,0.25,1.82,0,minor slope rockfish
Squarespot rockfish,14,4,0.374634922,0.4,0.25,1.86,-1,minor shelf rockfish
Starry flounder,31,3,NA,0.4,0.25,1.02,0,species specific
Starry rockfish,2,6,NA,0.4,0.25,2.09,0,minor shelf rockfish
Stripetail rockfish,14,4,NA,0.4,0.25,1.8,0,minor shelf rockfish
Treefish,31,3,NA,0.4,0.25,1.73,0,minor nearshore rockfish
Vermilion/Sunset rockfish,31,3,0.456386721,0.4,0.25,2.05,0,minor shelf rockfish
Widow rockfish,59,1,0.919478379,0.4,0.25,2.05,0,species specific
Yelloweye rockfish,11,5,0.283681072,0.4,0.25,2,1,species specific
Yellowmouth rockfish,14,4,NA,0.4,0.25,1.96,0,minor slope rockfish
Yellowtail rockfish,50,2,0.75205548,0.4,0.25,1.88,0,species specific
