Species,Rank,Factor Score,Average Catches,Average OFL,Average OFL Attainment,Average ACL,Average ACL Attainment,Management Group
Arrowtooth flounder,1,10,884.9,15163,0.058,12091.6,0.073,species specific
Aurora rockfish,18,3,33.5,92,0.365,85.9,0.39,minor slope rockfish
Bank rockfish,52,1,34.8,520.4,0.067,422.4,0.082,minor slope rockfish
Big skate,35,2,180.1,983.7,0.183,869.6,0.207,species specific
Black rockfish,10,5,831.1,1238.4,0.671,1145.6,0.725,species specific
Blackgill rockfish,18,3,49.4,185.7,0.266,162.1,0.305,minor slope rockfish
Blue/Deacon rockfish,18,3,199.5,446.6,0.447,391.8,0.509,minor nearshore rockfish
Bocaccio,35,2,519.2,2297.6,0.226,1894.7,0.274,species specific
Brown rockfish,10,5,106.3,180.5,0.589,158.2,0.672,minor nearshore rockfish
Cabezon,35,2,99.9,516.8,0.193,400.3,0.25,other groundfish
California scorpionfish,18,3,111.4,313.5,0.355,267.2,0.417,species specific
Canary rockfish,18,3,591.5,1487,0.398,1397.8,0.423,species specific
Chilipepper,18,3,712.7,2761.6,0.258,2595.7,0.275,species specific
China rockfish,10,5,27.5,44.8,0.613,38,0.723,minor nearshore rockfish
Copper rockfish,18,3,140.4,303.2,0.463,267.5,0.525,minor nearshore rockfish
Cowcod,52,1,6.1,90.1,0.067,39.6,0.153,minor shelf rockfish
Curlfin sole,18,3,2.9,8.2,0.351,5.4,0.534,other flatfish
Darkblotched rockfish,18,3,357.4,838,0.426,789.2,0.453,species specific
Dover sole,52,1,5182.7,90903.9,0.057,50000,0.104,species specific
English sole,52,1,236.7,10528.4,0.022,9207.6,0.026,species specific
Flag rockfish,18,3,7.3,23.5,0.309,19.1,0.38,minor shelf rockfish
Flathead sole,10,5,18.5,35,0.529,23,0.804,other flatfish
Gopher/Black and Yellow rockfish,10,5,99.1,155.7,0.637,131.8,0.752,minor nearshore rockfish
Grass rockfish,35,2,11.9,60.3,0.198,48.9,0.243,minor nearshore rockfish
Greenspotted rockfish,35,2,21.6,93.6,0.23,80,0.27,minor shelf rockfish
Greenstriped rockfish,52,1,46.1,1340.9,0.034,1174.5,0.039,minor shelf rockfish
Honeycomb rockfish,18,3,2.9,9.9,0.296,8,0.365,minor shelf rockfish
Kelp greenling,52,1,43.7,485.8,0.09,436.5,0.1,other groundfish
Kelp rockfish,35,2,4.8,27.7,0.175,22.5,0.215,minor nearshore rockfish
Leopard shark,35,2,27.8,167.1,0.166,135.6,0.205,other groundfish
Lingcod,35,2,1271.6,6096.2,0.209,5635,0.226,species specific
Longnose skate,18,3,658.8,2324.2,0.283,1916.8,0.344,species specific
Longspine thornyhead,52,1,207.7,4457.3,0.047,3396.2,0.061,species specific
Olive rockfish,35,2,45.8,225,0.203,182.6,0.251,minor nearshore rockfish
Pacific cod,52,1,43.1,3200,0.013,1600,0.027,species specific
Pacific ocean perch,35,2,441.4,3847.5,0.115,3283,0.134,species specific
Pacific sanddab,52,1,118.6,4801,0.025,3155.2,0.038,other flatfish
Pacific spiny dogfish,18,3,977.1,2481.1,0.394,1883.8,0.519,species specific
Petrale sole,6,7,2735.2,3501.4,0.781,3308.2,0.827,species specific
Quillback rockfish,1,10,26.3,12.8,2.059,10.4,2.537,minor nearshore rockfish
Redbanded rockfish,6,7,44.5,55.7,0.8,45.2,0.985,minor slope rockfish
Redstripe rockfish,35,2,43.5,270.4,0.161,219.5,0.198,minor shelf rockfish
Rex sole,35,2,437.4,2744,0.159,2153.4,0.203,other flatfish
Rock sole,52,1,3.3,66.7,0.05,43.8,0.076,other flatfish
Rosethorn rockfish,5,8,14.8,15,0.988,12.2,1.217,minor shelf rockfish
Rosy rockfish,35,2,10.8,47.5,0.228,38.6,0.281,minor shelf rockfish
Rougheye/Blackspotted rockfish,10,5,157.1,228,0.689,199.5,0.787,minor slope rockfish
Sablefish,10,5,5374,8774.6,0.612,7987.2,0.673,species specific
Sand sole,52,1,22.2,773.2,0.029,508.1,0.044,other flatfish
Sharpchin rockfish,35,2,41.1,410.1,0.1,361.2,0.114,minor slope rockfish
Shortraker rockfish,18,3,9.1,18.8,0.482,15.3,0.593,minor slope rockfish
Shortspine thornyhead,35,2,664.2,3134.6,0.212,2407,0.276,species specific
Silvergray rockfish,18,3,57.5,159.9,0.359,129.8,0.443,minor shelf rockfish
Speckled rockfish,35,2,7,39.6,0.177,32.1,0.218,minor shelf rockfish
Splitnose rockfish,52,1,221.6,2862.6,0.077,2659.8,0.083,minor slope rockfish
Squarespot rockfish,1,10,13.9,11.3,1.228,9.2,1.513,minor shelf rockfish
Starry flounder,52,1,10.3,890.7,0.012,594,0.017,species specific
Starry rockfish,10,5,37.4,62.6,0.597,50.8,0.736,minor shelf rockfish
Stripetail rockfish,4,9,67.2,64,1.051,52,1.294,minor shelf rockfish
Treefish,6,7,10.3,13.4,0.767,10.9,0.945,minor nearshore rockfish
Vermilion/Sunset rockfish,1,10,357.9,279,1.283,226.4,1.58,minor shelf rockfish
Widow rockfish,6,7,10314.8,13580.2,0.76,12839.6,0.803,species specific
Yelloweye rockfish,18,3,24,83.8,0.287,43.6,0.551,species specific
Yellowmouth rockfish,35,2,26.1,193.3,0.135,156.8,0.166,minor slope rockfish
Yellowtail rockfish,18,3,3477,7516.5,0.463,6893.5,0.504,species specific
