Species,Rank,Factor Score,Top Down Scaled,Bottom Up Scaled,Management Group
Arrowtooth flounder,3,5.72,4.04,0.17,species specific
Aurora rockfish,46,0.01,0,0,minor slope rockfish
Bank rockfish,34,0.03,0,0.02,minor slope rockfish
Big skate,13,0.69,0.46,0.05,species specific
Black rockfish,11,0.94,0.64,0.06,species specific
Blackgill rockfish,47,0.01,0,0.01,minor slope rockfish
Blue/Deacon rockfish,31,0.05,0.03,0.01,minor nearshore rockfish
Bocaccio,10,0.98,0.64,0.08,species specific
Brown rockfish,41,0.02,0.01,0,minor nearshore rockfish
Cabezon,19,0.26,0.18,0.01,other groundfish
California scorpionfish,16,0.39,0.16,0.12,species specific
Canary rockfish,27,0.08,0.02,0.04,species specific
Chilipepper,9,1.18,0.77,0.1,species specific
China rockfish,42,0.02,0.01,0,minor nearshore rockfish
Copper rockfish,35,0.03,0.02,0.01,minor nearshore rockfish
Cowcod,48,0.01,0.01,0,minor shelf rockfish
Curlfin sole,56,0,0,0,other flatfish
Darkblotched rockfish,32,0.05,0,0.03,species specific
Dover sole,7,1.88,0.06,1.32,species specific
English sole,20,0.22,0.01,0.15,species specific
Flag rockfish,49,0.01,0.01,0,minor shelf rockfish
Flathead sole,57,0,0,0,other flatfish
Gopher/Black and Yellow rockfish,28,0.07,0.04,0.01,minor nearshore rockfish
Grass rockfish,50,0.01,0,0,minor nearshore rockfish
Greenspotted rockfish,51,0.01,0.01,0,minor shelf rockfish
Greenstriped rockfish,26,0.09,0.02,0.05,minor shelf rockfish
Honeycomb rockfish,58,0,0,0,minor shelf rockfish
Kelp greenling,33,0.05,0.03,0.01,other groundfish
Kelp rockfish,59,0,0,0,minor nearshore rockfish
Leopard shark,15,0.46,0.32,0.01,other groundfish
Lingcod,4,3.09,2.13,0.14,species specific
Longnose skate,8,1.64,1.1,0.11,species specific
Longspine thornyhead,18,0.27,0.02,0.18,species specific
Olive rockfish,36,0.03,0.01,0,minor nearshore rockfish
Pacific cod,17,0.39,0.16,0.12,species specific
Pacific ocean perch,22,0.12,0.02,0.07,species specific
Pacific sanddab,25,0.1,0,0.07,other flatfish
Pacific spiny dogfish,1,10,7.02,0.32,species specific
Petrale sole,12,0.73,0.5,0.04,species specific
Quillback rockfish,60,0,0,0,minor nearshore rockfish
Redbanded rockfish,61,0,0,0,minor slope rockfish
Redstripe rockfish,37,0.03,0.02,0.01,minor shelf rockfish
Rex sole,30,0.06,0,0.04,other flatfish
Rock sole,62,0,0,0,other flatfish
Rosethorn rockfish,52,0.01,0,0,minor shelf rockfish
Rosy rockfish,53,0.01,0,0,minor shelf rockfish
Rougheye/Blackspotted rockfish,54,0.01,0,0.01,minor slope rockfish
Sablefish,2,9.59,6.67,0.38,species specific
Sand sole,43,0.02,0,0.01,other flatfish
Sharpchin rockfish,38,0.03,0,0.02,minor slope rockfish
Shortraker rockfish,63,0,0,0,minor slope rockfish
Shortspine thornyhead,5,2.01,1.02,0.46,species specific
Silvergray rockfish,29,0.07,0.04,0.01,minor shelf rockfish
Speckled rockfish,44,0.02,0.01,0,minor shelf rockfish
Splitnose rockfish,21,0.21,0.01,0.15,minor slope rockfish
Squarespot rockfish,64,0,0,0,minor shelf rockfish
Starry flounder,45,0.02,0,0.01,species specific
Starry rockfish,39,0.03,0.02,0,minor shelf rockfish
Stripetail rockfish,40,0.03,0.02,0,minor shelf rockfish
Treefish,65,0,0,0,minor nearshore rockfish
Vermilion/Sunset rockfish,23,0.12,0.08,0.01,minor shelf rockfish
Widow rockfish,14,0.6,0.24,0.2,species specific
Yelloweye rockfish,24,0.12,0.08,0,species specific
Yellowmouth rockfish,55,0.01,0,0.01,minor slope rockfish
Yellowtail rockfish,6,1.99,1.2,0.26,species specific
